id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
631125,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6,Home Alone 2: Lost in New York,Coke,"Parents,Siblings",,Pizza
606119,2,"Flour, yeast, tomato sauce, cheese, pepperoni, (6-7?)","Week day lunch,Weekend lunch,At a party,Late night snack",$5 ,Pulp fiction,Coke,Friends,,Pizza
616568,3,at least 3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20 dollars,fast and furious,soda,"Parents,Siblings,Friends",A little (mild),Pizza
603838,2,5,"Weekend lunch,Weekend dinner",10,Teenage Mutant Ninja Turtles,Soda,Friends,A moderate amount (medium),Pizza
719735,4,"1. Dough

2. Sauce

3. Cheese

4. Your choice of protein

5. Vegetables (optional)","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Spiderman 2,Coke,Friends,A little (mild),Pizza
608062,2,10,"Weekend dinner,At a party",$2.50 ,Spider man  ,Coca cola ,"Friends,Teachers",,Pizza
608704,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20 ,Home Alone,Coke,"Parents,Siblings,Friends,Teachers",,Pizza
520383,2,This food item has a variable number of ingredients. It could contain as little as three but will often contain more and there is no upper limit.,"Week day lunch,Weekend dinner,At a party","$3.50, but I'm not sure about this because people don't often buy only one serving",I don't think of a movie when thinking of this food item,Coke,"Friends,Teachers",A little (mild),Pizza
603793,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,Home Alone,soda,"Friends,Strangers",A moderate amount (medium),Pizza
603933,3,"Around 4-5, including dough, tomato sauce, cheese, olive oil, and optional basil",At a party,3 dollars.,"""The Truman Show""",sprite,Friends,,Pizza
524803,3,4 or more,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3.50 ,Breaking Bad,Soda,"Friends,Teachers",,Pizza
629712,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",17,Interstellar,Coca Cola,Friends,A little (mild),Pizza
627505,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3.00 ,Rush Hour,Pepsi,"Parents,Siblings",,Pizza
607065,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Scooby Doo,Coke,"Siblings,Friends",A little (mild),Pizza
500077,2,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Back to the Future 2,Diet coke,Teachers,,Pizza
601945,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",22 CAD,Princess Diaries (the apology scene),Diet Coke,"Parents,Friends,Teachers",A little (mild),Pizza
603664,2,8,"Week day lunch,At a party",16,Ratatouille,coke,Strangers,,Pizza
840827,3,6,Week day dinner,$25 ,Avengers,Coke,Friends,,Pizza
604897,3,15,"Weekend lunch,At a party",25,Teenage Mutant Ninja Turtles,soda,"Friends,Teachers,Strangers",,Pizza
525422,2,3,"Week day lunch,Weekend lunch,At a party,Late night snack",3.5,Spiderman,Soda,Friends,,Pizza
738379,3,Around 7-10,"Weekend lunch,At a party",$15-$25,Teenage Mutant Ninja Turtles,"Coke, iced tea.","Parents,Siblings,Friends",A little (mild),Pizza
622023,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3 ,Ninja Turtles,Coke Zero,Friends,,Pizza
608318,2,4-7,"Week day dinner,Weekend dinner,At a party,Late night snack",$5 ,Ratatouille,wine,Friends,,Pizza
626757,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12 dollars,Spiderman,Pop,"Friends,Strangers",A lot (hot),Pizza
745297,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$7 ,Teenage Mutant Ninja Turtles,Coke,"Parents,Friends,Teachers",,Pizza
520037,2,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Home Alone,Coke,"Friends,Teachers,Strangers",,Pizza
632189,2,4,"Week day lunch,Weekend lunch,At a party,Late night snack",$3 ,Spider man,Coca Cola,Friends,,Pizza
627636,3,Minimum 3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Between $4 and $7,Spy Kids 3D,Pepsi,Friends,,Pizza
295428,3,"cheese, wheat flour, some types of meat, herbs, some type of sauces.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4 ,Squid game,soft drink,"Siblings,Friends,Teachers,Strangers",,Pizza
228777,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.5,running man ,Coca Cola ,Teachers,,Pizza
609278,3,6,"Week day lunch,Week day dinner,At a party,Late night snack",$5 ,Ratatouille,Soda,"Parents,Siblings,Friends,Teachers",,Pizza
614089,2,4,"Week day dinner,Weekend dinner,At a party,Late night snack",20 CAD,The Godfather,Coke,Siblings,,Pizza
607517,4,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",14,Recep Ivedik 2,Coke,"Siblings,Friends",A little (mild),Pizza
716650,4,"Many Ingredients. For each of Dough, Sauce, Toppings, there are many ingredients required. If I had to estimate, I would say around 5 for dough, 8 for sauce, and just 2 for toppings. Altogether, that would be around 15 ingredients total.","Week day dinner,At a party,Late night snack","Usually this food item comes in large quantities. Assuming that a quarter of this item is one serving, then with a full item being about $15, I would say that I would expect to pay $3.75 for one serving. ","I usually associate this item with the winter because school parties would frequently order this food item. Hence, I would say The Polar Express, Elf, and Home Alone.",I would pair some type of soda with this food item — something like a sprite or a coca-cola. ,"Friends,Teachers,Strangers",A moderate amount (medium),Pizza
497695,2,4,"Weekend dinner,At a party,Late night snack",5,Moneyball,Soda,Friends,A little (mild),Pizza
608688,2,3,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$2.50 ,"Inside Out, Teenage Mutant Ninja Turtles",Soda,"Parents,Siblings,Friends,Teachers",,Pizza
604386,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20,Ratatouille,soft drink,"Parents,Friends",,Pizza
625295,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$4.00 ,Home Alone,Pop,Friends,,Pizza
603415,3,4-8,"Week day lunch,Weekend lunch,At a party,Late night snack",$4-5,Home Alone,Soda,Friends,A little (mild),Pizza
630389,1,3,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20,Sam Raimi's Spider Man,Chocolate Milk,Friends,A lot (hot),Pizza
524441,3,6,"Week day lunch,Weekend lunch,At a party",$10 ,Teenage Mutant Ninja Turtles,Ginger ale,"Siblings,Friends",,Pizza
389109,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",18,Cloudy With a Chance of Meatballs,Canada Dry Ginger Ale,Friends,,Pizza
631216,2,5,"Week day lunch,At a party",6,A Quiet Place 2,coke,Friends,A moderate amount (medium),Pizza
738875,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4 ,Home alone,Milk,"Parents,Siblings,Friends,Teachers,Strangers",A little (mild),Pizza
409940,3,6,"Week day dinner,At a party",8$,spiderman,diet coke,"Parents,Friends",A moderate amount (medium),Pizza
399605,2,5,"Week day lunch,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Teenage Mutant Ninja Turtles,coke,"Parents,Friends",,Pizza
721831,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6,Home Alone,Coke,"Parents,Siblings,Friends",,Pizza
835223,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4,Set it up,coke,"Friends,Strangers",A moderate amount (medium),Pizza
712938,3,5,"Week day dinner,Weekend dinner",15,Green Book,coke,Friends,,Pizza
395712,3,"5 ingredients,  bread, cheese, sauce, meat, veggies","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$4 - $8,Teenage Mutant Ninja Turtles,"Pop, Coca-Cola, 7up, crush","Friends,Teachers,Strangers",A moderate amount (medium),Pizza
603388,2,about 7,"Week day lunch,At a party,Late night snack",12 cad,Garfield,Coke,Friends,A little (mild),Pizza
617774,3,3,"Week day lunch,Week day dinner,Weekend lunch,At a party",15.99-29.99,Cars,Iced tea,"Parents,Teachers",,Pizza
289440,3,5,"Week day lunch,At a party,Late night snack",4,Teenage Mutant Ninja Turtles,coke,"Friends,Strangers",A moderate amount (medium),Pizza
714503,2,3 to 4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$15 ,"relaxing, comedy",cola,Friends,I will have some of this food item with my hot sauce,Pizza
714893,2,5,"Week day lunch,Weekend lunch,At a party",$5.00 ,Home Alone 2,Coke,"Siblings,Friends",A moderate amount (medium),Pizza
601094,2,"7 (flour, water, oil, yeast, sauce, cheese, topping)","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6.50 ,teenage mutant ninja turtles,soda,"Siblings,Friends",,Pizza
618150,2,"5 (pizza base, sauce, cheese, topping, and oregano)","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","for a large pizza, $25.",Home alone,Diet coke,"Siblings,Friends",A moderate amount (medium),Pizza
629844,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6 ,Ratatouille,Orange juice,"Parents,Siblings,Friends,Teachers",,Pizza
626482,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5,The Godfather,Pop,Friends,,Pizza
609257,2,5,"Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",6$,High School Musical ,Rootbeer,"Siblings,Friends,Teachers",,Pizza
717921,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$4 ,Zootopia,Lemonade,"Friends,Teachers",A little (mild),Pizza
181851,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,,pops,Friends,A lot (hot),Pizza
716749,3,4 or more,"Week day lunch,Late night snack",15 dollar,no,water or  lemon water,Strangers,A little (mild),Pizza
520861,3,4,"Week day lunch,Weekend lunch,At a party,Late night snack",12,ratatouille,Soda,Friends,,Pizza
517019,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4,30 minutes or less,pop,"Parents,Siblings,Friends,Teachers",,Pizza
626779,3,"Dough (water, flour, yeast), cheese, tomato sauce","Week day dinner,Weekend lunch,Weekend dinner,At a party",4$ for a slice,Home alone,soda,"Siblings,Friends",A little (mild),Pizza
611716,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",7,Home alone,coke,"Parents,Siblings",,Pizza
193195,3,5,"Weekend dinner,At a party,Late night snack",$5 ,21 Jump Street,Coca Cola,"Friends,Teachers",A little (mild),Pizza
627530,2,7,"Week day lunch,Week day dinner,Weekend dinner,At a party",$10 ,Free Guy,Coca-Cola,Friends,A little (mild),Pizza
624540,3,"3

sansauge, 

corn, 

sauce, 

 ","Week day lunch,Week day dinner,At a party,Late night snack",15 per person,harry poter,bubble tea,"Friends,Strangers",A moderate amount (medium),Pizza
625315,2,3-8,"Week day lunch,Week day dinner,At a party,Late night snack",$7 ,Home Alone,Soft drink,"Parents,Siblings,Friends,Teachers,Strangers",A little (mild),Pizza
720045,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,The Godfather,Water,"Friends,Teachers",A lot (hot),Pizza
713585,5,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",30,Idk,Soda,"Friends,Teachers",,Pizza
634825,3,7,"Weekend dinner,At a party",$5 ,Cloudy with a chance of meatballs,Soda,"Parents,Friends,Teachers",,Pizza
613409,4,"flour, yeast, olive oil, salt, mozzarella cheese, and tomato sauce. So total of 8","Weekend dinner,At a party,Late night snack",8,The wicked,Coke-Cola,Friends,A moderate amount (medium),Pizza
633224,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$2.50 ,Home Alone,Coca Cola,Friends,,Pizza
738850,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Five Nights at Freddy's,Coca Cola,"Parents,Siblings,Teachers",,Pizza
500470,4,At least 6,"Week day lunch,Weekend lunch,At a party,Late night snack",8.00 CAD,Ratatouille,Soda,Friends,,Pizza
13183,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,Harold & Kumar Go to White Castle,ice tea,"Parents,Friends",,Pizza
627169,2,15,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",$20 ,Teenage Mutant Ninja Turtles,Coke,"Parents,Friends",A moderate amount (medium),Pizza
229041,3,5,"Week day lunch,Weekend lunch,At a party",5$,home alone,soda,"Parents,Siblings,Friends",,Pizza
630949,4,7,"Weekend lunch,Weekend dinner,At a party",$10 ,Lord of the Rings,Soda,"Siblings,Friends",,Pizza
310438,2,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5,Home Alone,Coke,"Siblings,Friends,Teachers",,Pizza
627430,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Home Alone,Coke,"Siblings,Friends,Strangers",A little (mild),Pizza
526510,2,4,At a party,6,,cola,Strangers,,Pizza
390823,3,4,"Week day dinner,Weekend dinner,At a party,Late night snack",$5 ,The Hangover,Coke,Friends,A little (mild),Pizza
717116,2,4-8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",about $20,Breaking Bad (not a movie),coke or diet coke,Friends,A little (mild),Pizza
612538,4,6,"Week day lunch,Weekend dinner,At a party,Late night snack",$3 ,Toy Story,Coca Cola,"Friends,Teachers",,Pizza
627539,2,4,"Week day lunch,Weekend lunch,At a party",5$,The Mario Movie,Coca Cola,"Siblings,Friends",A moderate amount (medium),Pizza
603812,2,5,"Week day lunch,At a party,Late night snack",5 bucks,Home Alone,Root Beer,Friends,A little (mild),Pizza
